Dryland Winter,Sample Location (Farm/Field),,,,,,,,,,,,,,
Wheat Variety Brand/Name,BL (North Central),BE (North Central),OT (Southeast),PA (Southeast),EL (Central),HL (Central),AS (Central),NW (South Central),HU (South Central),SJ (South Central),RS (Northwest),CO (Northwest),DC (Northwest),LA (Southwest),GC (Southwest)
CARTWRIGHT,23,78,61.5,65.5,76.1,75.1,40.5,55,66.3,34.8,69.7,41.6,60,44.8,77.2
AP_BIGFOOT,21.9,86.7,NA,NA,61.6,84.8,50.4,58.3,73.3,32,70.5,51.2,52.1,49.1,71.5
AP_EVERROCK,24.2,79.3,NA,NA,61.8,89.2,50.4,51.3,67.3,39.3,NA,NA,NA,NA,NA
AP_PROLIFIC,26.3,87.7,77.1,82.2,71.2,93,45.4,53.9,65,38.4,NA,NA,NA,NA,NA
AP_ROADRUNNER,23.3,79.3,NA,NA,NA,NA,NA,58.3,67.9,30,72.2,53.5,55.4,43.9,69.5
AP18_AX,19.1,80.5,NA,NA,71.7,87.3,43.4,59.9,63,31.6,80.5,60.1,58.5,45,77
SY_WOLVERINE,27.5,83.3,NA,NA,83.1,101,51,58,67.8,42.1,79.6,53,57.5,55.2,86
AG_ICON,25.2,81.4,NA,NA,62.2,76.9,48.9,55.5,69,35.2,NA,NA,NA,NA,NA
AG_RADICAL,24,79.5,66.5,75.2,63.2,91.1,53.4,55.6,69.7,31.4,NA,NA,NA,NA,NA
AG_GOLDEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8,47.9,50.6,51.6,83.8
TAM_114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6,47.3,35.4,34,64.4
KS_DALLAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6,60,64.3,49.1,82.1
KS_HAMILTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9,58.4,53.9,48.2,76.7
KS_TERRITORY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.6,54.8,56.5,49.5,59.6
KS_PROVIDENCE,28.8,83.1,70,66.5,72.7,89,51.9,57.8,76.5,37.4,72.9,47.8,67.3,44.8,74.2
KS_AHEARN,28.2,88.5,NA,NA,72.6,79.1,45.4,58.1,67.4,36.9,NA,NA,NA,NA,NA
KS_HATCHETT,23.6,71.7,NA,NA,74.4,82.2,48,60.1,61.1,32.1,NA,NA,NA,NA,NA
KS_SILVERADO,NA,NA,NA,NA,NA,NA,NA,57.6,67.2,39.2,NA,NA,NA,NA,NA
KS_WESTERN_STAR,NA,NA,NA,NA,61.7,77.4,52.8,50.6,71.7,32.3,65.1,43.8,61.3,NA,NA
ZENDA,28,70.9,66,75.3,59.8,85.2,44.6,48.4,56.1,40.8,NA,NA,NA,NA,NA
LCS_ATOMIC_AX,26.3,87.8,NA,NA,58.1,87.1,50.3,59.5,65.8,32.8,75,54.2,59.5,52.5,73.8
LCS_CHROME,23.9,85.1,NA,NA,73.6,84.9,50.2,61.5,67.7,35.4,70.2,45.1,51.4,40.9,76.4
LCS_HELIX_AX,21.9,91.3,NA,NA,73.8,87,51.2,54.2,63.9,36.4,71.2,57,51,49.3,84.4
